,SPX Equity,NVDA US Equity,AMD US Equity,IGLN LN Equity,MINE LN Equity,CBUK GY Equity,FXAC NA Equity,2899 HK Equity,AAPL US Equity,LLY US Equity,JNJ US Equity,PFE US Equity,OGN US Equity,3750 HK Equity,META US Equity,GOOGL US Equity,AIR FP Equity,BA US Equity,RR/ LN Equity,BA/ LN Equity,MDT US Equity,EMB US Equity,CBU0 LN Equity,PG US Equity,AMZN US Equity,NEXT US Equity,SO US Equity,JEMA LN Equity,EMIRATES UH Equity,KO US Equity,CON GR Equity,NFLX US Equity,SBUX US Equity,JGB1X SW Equity,USDCNY Equity,USDJPY Equity,USDHKD Equity,GBPUSD Equity,EURUSD Equity
,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST
2013-12-30,3095.555,0.3993,3.85,23.97,,,,1.68,19.8043,51.17,92.3,29.0926,,,53.71,27.763,55.73,135.92,432.735,434.0,57.37,108.38,123.4,82.0,19.669,,41.0,533.0,6.027,41.09,106.536,52.427,39.275,,6.0618,105.15,7.7548,1.6501,1.3801
2013-12-31,3100.74,0.4005,3.87,23.86,,,,1.66,20.0364,51.0,91.59,29.0357,,,54.649,28.045,55.81,136.49,437.539,435.0,57.39,108.16,123.26,81.41,19.94,,41.11,542.0,6.104,41.31,,52.596,39.195,,6.054,105.31,7.754,1.6557,1.3743
2014-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.25,7.7541,1.6566,1.3763
2014-01-02,3086.221,0.3965,3.95,24.35,,,,1.68,19.7546,50.73,91.03,28.8745,,,54.71,27.855,56.55,136.67,434.451,430.5,57.24,108.18,123.3,80.54,19.899,,40.69,540.5,6.392,40.66,105.199,51.831,38.585,,6.0506,104.81,7.754,1.6453,1.3672
2014-01-03,3107.999,0.3918,4.0,24.5575,,,,1.72,19.3207,51.1,91.85,28.9314,,,54.557,27.652,56.4,137.62,436.167,432.2,58.34,108.28,123.235,80.45,19.822,,40.47,531.0,,40.46,104.898,51.871,38.475,,6.0517,104.86,7.754,1.6418,1.3589
2014-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.536,,,,,,,,,,
2014-01-06,3096.592,0.397,4.13,24.6588,,,,1.73,19.4261,51.53,92.33,28.9598,,,57.2,27.96,55.43,138.41,442.344,431.6,59.22,108.71,123.655,80.64,19.682,,40.4,528.0,6.536,40.27,105.7,51.367,38.085,,6.0524,104.22,7.7546,1.6406,1.3629
2014-01-07,3077.925,0.4035,4.18,24.3763,,,,1.73,19.2871,51.19,94.29,29.14,,,57.92,28.499,55.91,140.51,442.344,426.4,59.84,108.85,123.67,81.42,19.902,,40.76,525.5,6.277,40.39,106.937,48.5,38.605,,6.0512,104.6,7.7544,1.6402,1.3616
2014-01-08,3065.481,0.409,4.18,24.2838,,,,1.7,19.4093,51.11,94.16,29.339,,,58.23,28.558,55.35,140.82,441.314,426.5,60.84,108.25,123.245,80.24,20.096,,40.4,522.0,6.479,39.94,107.271,48.713,39.015,,6.0513,104.86,7.754,1.6448,1.3576
2014-01-09,3038.518,0.3938,4.09,24.3675,,,,1.68,19.1614,51.68,94.73,29.3201,,,57.22,28.283,54.71,142.13,428.274,429.9,59.36,108.33,123.32,80.42,20.051,,40.62,516.75,6.633,39.73,106.135,48.15,38.8,,6.0554,104.82,7.7544,1.6481,1.3608
